coding-standards	false	Raspberry Pi Foundation Learning Team Coding Standards
tcc-code-projects	false	Code editor HTML files for the TCC Rockstar activity
Pedagogy-Quick-Reads	false	Repository for Quick Read source content
visual-first-template	false	Template for visual first resources
sunset	false	Sunset
pico-probe	false	Raspberry Pi Pico Soil Moisture Probe
sock-puppet	false	Sock Puppet
friend-frame	false	Friend Frame
pico-tank-sensor	false	Tank Level Sensor
rainbow-maker	false	Rainbow maker
editor-astropi-iss-speed	false	editor-astropi-iss-speed
touch-free-tap	false	Touch Free Tap
editor-mz-guide	false	editor-mz-guide
time-to-make	false	Time to make 
bike-gloves	false	Bike gloves
recruiting-mentors	false	Recruiting mentors
editor-about-me	false	About me
editor-charting-champions	false	Editor charting champions
editor-secure-messages	false	Editor Secure messages
editor-encoded-art	false	Editor Encoded art
editor-modern-art	false	Editor Modern Art
editor-codebreaker	false	Editor codebreaker
editor-password-generator	false	Editor Password Generator
editor-astro-pi-mission-zero	false	Astro Pi: Mission Zero 
editor-colourful-creations	false	Editor colourful creations
editor-mapping-data	false	Editor Mapping data
editor-persuasive-data-presentation	false	Perusasive Data Presentation
editor-pixel-pet	false	Pixel Pet
make-a-selfie-filter	false	Make a selfie filter
editor-robo-trumps	false	Editor Robo Trumps
editor-powerful-patterns	false	Editor powerful patterns
editor-shakespearean-insult-generator	false	Editor Shakespearean insult generator
editor-scary-spot-the-difference	false	Editor Scary Spot the Difference (Python)
editor-sense-hat-random-sparkles	false	Editor Sense HAT Random Sparkles
editor-rock-paper-scissors	false	Editor rock, paper, scissors
editor-solar-system-simulator	false	Solar System Simulator
editor-rpg	false	Editor escape the maze
editor-turtle-snowflakes	false	Editor Turtle Snowflakes
editor-revolting-rhymes	false	Editor revolting rhymes
editor-team-chooser	false	Team Chooser 
hj-test-12-feb-2026	false	hj-test-12-feb-2026
crafty-critters	false	Crafty critters
editor-build-a-robot	false	Build a Robot 
editor-happy-birthday	false	Happy birthday 
patchwork_platformer	false	Patchwork Platformer
test-target-practice-staging	false	Test target practice staging
editor-test-target-practice-staging	false	editor-test-target-practice-staging
editor-cd-sebento-htmlcss-1	false	Editor bird watch website 1.0
editor-magazine	false	Magazine 
editor-mystery-letter	false	Mystery Letter 
editor-zorklike	false	Adventure Game
editor-flip-treat-webcards	false	Flip Treat Webcards 
editor-stickers	false	Stickers! 
editor-mood-board	false	Mood Board 
editor-sunrise	false	Sunrise 
editor-talk-like-a-pirate	false	Talk Like A Pirate! 
editor-top-5-emoji-list	false	Top 5 Emoji List 
editor-tell-a-story	false	Tell a Story 
editor-sell-me-something	false	Sell Me Something
editor-wanted	false	Wanted! 
editor-cd-sebento-htmlcss-2	false	Bird watch website 2.0 
editor-quiz-time	false	Quiz Time! 
editor-welcome-to-antarctica	false	Editor Welcome to Antarctica
editor-comic-character	false	Editor Comic Character
editor-cd-sebento-htmlcss-3	false	Bird watch website 3.0 
editor-share-your-world	false	Share Your World 
editor-pick-your-favourite	false	Editor Pick your favourite!
mad-murmurations	false	Mad Murmurations
neon-ribbon-composer	false	Neon Ribbon Composer
animate-a-thing	false	Animate a thing
catch-a-scoop	false	Catch a scoop
stop-a-thing	false	Stop A Thing
stamp-cannon	false	Stamp cannon!
bounce-a-thing	false	Bounce a thing
collide-a-thing	false	Collide a thing
grow-a-thing	false	Grow a thing
stop-this-thing	false	stop-this-thing
sound-box	false	Sound box
bug-hotel	false	Bug hotel
indieweb-goblin-alert-button	false	Web Alert Button
indieweb-hover-secret-message	false	Secret Message Hover
indieweb-loud-background-pattern	false	Retro Background
indieweb-silly-button-wall	false	Wall of Crazy Buttons
indieweb-forbidden-drawer	false	Forbidden Drawer
retro-arcade-marquee	false	Retro arcade marquee
solar-pico	false	Solar powered Raspberry Pi Pico webserver
pico-webserver	false	Raspberry Pi Pico webserver
pico-tunnel	false	Raspberry Pi Pico website with Cloudflare Tunnel
tiny-web-pet	false	Tiny web pet
unicorn-poop	false	Unicorn poop
word-magnet-studio	false	Word magnet studio
my-wavy-words	false	My wavy words
this-paragraph-is-lying	false	This paragraph is lying
patrick-all-blocks-test-2026-05-14	false	Patrick's test of all the blocks
wiggly-words	false	Wiggly words
scratch-integration-test	false	scratch-integration-test
branching-pathways-platformer	false	branching-pathways-platformer
test-rfm-translations	false	branching-pathways-platformer
scratch-test-project	false	Scratch Test Project
quantum-cat	false	Quantum cat
ada-cs-anvil-apps	false	Anvil Apps for Ada CS
neil-the-seal	false	Neil the seal
editor-neil-the-seal	false	Editor Neil the seal
cookie-clicker	false	Cookie clicker clone
icing-on-the-cake	false	Icing on the cake
editor-cookie-clicker	false	Cookie Clicker Clone 
dino-jump	false	Dino Jump
ada-cs-anvil-talking-jordan	false	Talking Jordan - Built with Anvil
dishwasher-sim	false	dishwasher-sim
ada-cs-anvil-malware-flip-cards	false	Malware flip cards - Built with Anvil
taco-stacko	false	Taco Stacko
watermelon-drop	false	Watermelon drop
duck-island	false	Duck island
stickman-battle	false	Stickman battle
bb-character-sheet	false	Brainrot Brigade Character Sheet
